dataset,corruption,fold,val_score,test_score
1475,ftt,5,0.5386213230108953,0.5569803679500833
1475,ftt,6,0.5502401860130971,0.5626319502902126
1475,ftt,7,0.5527291931572375,0.5424028078712146
1475,ftt,8,0.5570016118030625,0.5892961715690095
1475,ftt,9,0.5302350817344618,0.5606336032110463
1475,ftt,10,0.520236356791452,0.55700730119718
1475,ftt,11,0.5819249211686841,0.5578491473091378
1475,ftt,12,0.5439464114047908,0.552396745373952
1475,ftt,13,0.5736359258108384,0.5584573021068792
1475,ftt,14,0.5420111656701235,0.5807461640764676
1475,ftt,15,0.5460482137488979,0.5576790571866498
1475,ftt,16,0.5442465576327794,0.5402902459693697
1475,ftt,17,0.5237230264742728,0.5861258789540055
1475,ftt,18,0.5432924223701822,0.5515748883640986
1475,ftt,19,0.5242491859801671,0.5813450587558696
1475,ftt,20,0.5121185939341004,0.5878224500266436
1475,ftt,21,0.5392286672528335,0.5813205266572269
1475,ftt,22,0.5448885729214814,0.562647330829455
1475,ftt,23,0.5591257445703676,0.5418475048475331
1475,ftt,24,0.5420184636061677,0.5462336714564439
1475,ftt,25,0.48028232330032083,0.5595610660633858
1475,ftt,26,0.559673122938948,0.5557813305912063
1475,ftt,27,0.5524155449941781,0.5541443009236526
1475,ftt,28,0.5551448869394392,0.5614285116826264
1475,ftt,29,0.5323414868218984,0.5587381396432751
1487,ftt,0,0.9509437407280612,0.9394977492143485
1487,ftt,1,0.9329221052755611,0.9364252317759898
1487,ftt,2,0.9443459207238735,0.9268869369203818
1487,ftt,3,0.9392800799048483,0.935931921919369
1487,ftt,4,0.9463318740905713,0.934140237452983
1487,ftt,5,0.9560398072578116,0.918640087000029
1487,ftt,6,0.9327709036370454,0.9298912205144658
1487,ftt,7,0.937007874015748,0.9468872882685347
1487,ftt,8,0.9261450121609542,0.9343699639557628
1487,ftt,9,0.9475987142207288,0.9242350435310018
1487,ftt,10,0.9290241383761457,0.9387452996920453
1487,ftt,11,0.9215268014003901,0.9432106463151287
1487,ftt,12,0.9431599292766227,0.9313682518810723
