,dataset,corruption,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
176,1067,scarf,26,0.8114052904773783,0,0,0,0,0.012205992142359416
177,1067,scarf,27,0.8243288733564923,0,0,0,0,0.010332649662381127
178,1067,scarf,28,0.8353855058296666,0,0,0,0,0.010488378504912058
179,1067,scarf,29,0.8353855058296666,0,0,0,0,0.015324536959330242
180,1489,pass,0,0.852477642751761,0,0,0,0,0.011719139913717905
181,1489,pass,1,0.861118544643956,0,0,0,0,0.012190125783284505
182,1489,pass,2,0.8484186869938453,0,0,0,0,0.010922986136542426
183,1489,pass,3,0.8604923212250711,0,0,0,0,0.011559470840122389
184,1489,pass,4,0.8580284037188447,0,0,0,0,0.010647585988044739
185,1489,pass,5,0.8471110996194438,0,0,0,0,0.01080412779535566
186,1489,pass,6,0.8387523721184984,0,0,0,0,0.012339955347555656
187,1489,pass,7,0.8825363383716628,0,0,0,0,0.011394057129368638
188,1489,pass,8,0.8491438953169029,0,0,0,0,0.011432854996787176
189,1489,pass,9,0.8475237041625754,0,0,0,0,0.014573825730217827
190,1489,pass,10,0.8692176341088791,0,0,0,0,0.012552992124406118
191,1489,pass,11,0.8487113973426363,0,0,0,0,0.011800131143308154
192,1489,pass,12,0.856074683973347,0,0,0,0,0.011779454642651128
193,1489,pass,13,0.8262962918930548,0,0,0,0,0.013039798869027033
194,1489,pass,14,0.8558215124622439,0,0,0,0,0.010907242139180501
195,1489,pass,15,0.8562676765381836,0,0,0,0,0.01381070847604789
196,1489,pass,16,0.8728653495458091,0,0,0,0,0.012585132772272283
197,1489,pass,17,0.8633021731356724,0,0,0,0,0.011004075266066051
198,1489,pass,18,0.845812439681166,0,0,0,0,0.011912482518416185
199,1489,pass,19,0.8564583738766398,0,0,0,0,0.010427256992885044
200,1489,pass,20,0.8568108539632868,0,0,0,0,0.010983486686434065
201,1489,pass,21,0.8593626148791852,0,0,0,0,0.01164900283018748
202,1489,pass,22,0.8774623348200613,0,0,0,0,0.011347668412802875
203,1489,pass,23,0.8720860736267058,0,0,0,0,0.011944391762000926
204,1489,pass,24,0.8504882364987213,0,0,0,0,0.012000605193051425
205,1489,pass,25,0.8609100693518399,0,0,0,0,0.011241185053800925
206,1489,pass,26,0.8511378059789528,0,0,0,0,0.01126618054178026
207,1489,pass,27,0.8661556838929569,0,0,0,0,0.014513184474064753
208,1489,pass,28,0.846913533052734,0,0,0,0,0.010834550857543946
209,1489,pass,29,0.8525544416797305,0,0,0,0,0.011039195305261856
210,1489,scarf,0,0.85198034358386,0,0,0,0,0.011686227056715223
211,1489,scarf,1,0.8396055000993505,0,0,0,0,0.011060415373908148
212,1489,scarf,2,0.873665861978771,0,0,0,0,0.012240078051884968
213,1489,scarf,3,0.8609802330972411,0,0,0,0,0.011597895622253418
214,1489,scarf,4,0.8619554229306051,0,0,0,0,0.012080542968981194
215,1489,scarf,5,0.8430783127231325,0,0,0,0,0.011385661182981548
216,1489,scarf,6,0.8735532919935358,0,0,0,0,0.011358102162679037
217,1489,scarf,7,0.8612997658575136,0,0,0,0,0.012933190663655598
218,1489,scarf,8,0.8470058070056877,0,0,0,0,0.012234062353769937
219,1489,scarf,9,0.8466598007328269,0,0,0,0,0.012063643137613933
220,1489,scarf,10,0.8604324924857344,0,0,0,0,0.012161995967229207
221,1489,scarf,11,0.8528804297481122,0,0,0,0,0.011047376285899769
222,1489,scarf,12,0.8549786400869912,0,0,0,0,0.012312793731689453
223,1489,scarf,13,0.8500810465115196,0,0,0,0,0.014243073816652652
224,1489,scarf,14,0.8559140628185837,0,0,0,0,0.012919239203135173
225,1489,scarf,15,0.8672268694658937,0,0,0,0,0.013361167907714844
226,1489,scarf,16,0.8708652992466506,0,0,0,0,0.01119114255148267
227,1489,scarf,17,0.8543650640169549,0,0,0,0,0.00978185508562171
228,1489,scarf,18,0.8514170249722536,0,0,0,0,0.014168483239633066
229,1489,scarf,19,0.8619720474880598,0,0,0,0,0.012652255098025004
230,1489,scarf,20,0.8602582804813319,0,0,0,0,0.012421808419404207
231,1489,scarf,21,0.862691652172749,0,0,0,0,0.013313292573999476
232,1489,scarf,22,0.879409901668131,0,0,0,0,0.010999965667724609
233,1489,scarf,23,0.8504118765637362,0,0,0,0,0.012876826344114361
234,1489,scarf,24,0.8471101094713532,0,0,0,0,0.015310407820202055
235,1489,scarf,25,0.8614083471772449,0,0,0,0,0.010722498404674041
236,1489,scarf,26,0.8548811667565553,0,0,0,0,0.012504961377098446
237,1489,scarf,27,0.8604449578270733,0,0,0,0,0.012738794485727945
238,1489,scarf,28,0.855989758898795,0,0,0,0,0.012824871804979113
239,1489,scarf,29,0.8462642066392753,0,0,0,0,0.012648957116263253
