dataset,corruption,fold,val_score,test_score
1485,tabnet,26,0.6807692,0.5249982433366989
1485,tabnet,27,0.6807692,0.6326800818074566
1485,tabnet,28,0.64615387,0.5912859070753808
1485,tabnet,29,0.6615385,0.569419741488465
1487,tabnet,0,0.97637796,0.933817053247039
1487,tabnet,1,0.96456695,0.9386122992816767
1487,tabnet,2,0.96850395,0.920008635441428
1487,tabnet,3,0.96062994,0.9294727733969652
1487,tabnet,4,0.96062994,0.9208145335816622
1487,tabnet,5,0.97637796,0.9184997991087734
1487,tabnet,6,0.95669293,0.9383892543915002
1487,tabnet,7,0.9488189,0.9213931866374314
1487,tabnet,8,0.96456695,0.9253420139650521
1487,tabnet,9,0.96456695,0.9311526111749482
1487,tabnet,10,0.96456695,0.933413147590452
1487,tabnet,11,0.95669293,0.9445117407474201
1487,tabnet,12,0.97637796,0.9132353135269524
1487,tabnet,13,0.96062994,0.910504095700032
1487,tabnet,14,0.96456695,0.9282220358761175
1487,tabnet,15,0.96850395,0.915917242026309
1487,tabnet,16,0.96062994,0.9199149023992114
1487,tabnet,17,0.97637796,0.9329388560157791
1487,tabnet,18,0.96456695,0.920008635441428
1487,tabnet,19,0.95669293,0.9222166992371472
1487,tabnet,20,0.95669293,0.9414842812158518
1487,tabnet,21,0.96456695,0.9222166992371472
1487,tabnet,22,0.95669293,0.9186349041158478
1487,tabnet,23,0.96850395,0.915100460769149
1487,tabnet,24,0.96456695,0.9239191572792507
1487,tabnet,25,0.96850395,0.9389800652500215
1487,tabnet,26,0.96062994,0.9214077507308587
1487,tabnet,27,0.96456695,0.9414842812158518
1487,tabnet,28,0.9527559,0.9399472203959383
1487,tabnet,29,0.95669293,0.9227080826500276
1494,tabnet,0,0.9716981,0.8097446904545826
1494,tabnet,1,0.8867925,0.8618045526401046
1494,tabnet,2,0.9339623,0.8672985781990521
1494,tabnet,3,0.8962264,0.8414544240229131
1494,tabnet,4,0.9245283,0.8668212833182078
1494,tabnet,5,0.8867925,0.8229828384917391
1494,tabnet,6,0.8679245,0.8813072583104058
1494,tabnet,7,0.8962264,0.8538048323178737
1494,tabnet,8,0.8773585,0.8718118389752382
1494,tabnet,9,0.9528302,0.8533309765537254
1494,tabnet,10,0.9056604,0.8358930317644018
1494,tabnet,11,0.9245283,0.8427431116249466
1494,tabnet,12,0.9245283,0.8528210003049032
1494,tabnet,13,0.9150943,0.8394019381651078
1494,tabnet,14,0.8584906,0.8798897151688737
1494,tabnet,15,0.9339623,0.8448399264919239
1494,tabnet,16,0.9056604,0.836694580813938
1494,tabnet,17,0.9245283,0.8833434046314654
1494,tabnet,18,0.9339623,0.8243347422994006
1494,tabnet,19,0.9528302,0.8623164196400707
1494,tabnet,20,0.9056604,0.8448399264919239
1494,tabnet,21,0.9622642,0.8421198289250647
1494,tabnet,22,0.9245283,0.8376620047228907
1494,tabnet,23,0.8962264,0.8763340487954787
1494,tabnet,24,0.8962264,0.8753516486301542
1494,tabnet,25,0.9056604,0.9087161835283439
1494,tabnet,26,0.8867925,0.8567605924025504
1494,tabnet,27,0.9056604,0.8713352731476834
1494,tabnet,28,0.9339623,0.8166290040359099
1494,tabnet,29,0.9245283,0.8528210003049032
1497,tabnet,0,0.96886444,0.9642871005192118
1497,tabnet,1,0.97985345,0.9624808442550021
1497,tabnet,2,0.981685,0.9598180253325048
1497,tabnet,3,0.97619045,0.9488724476367185
1497,tabnet,4,0.97985345,0.9680178421396293
1497,tabnet,5,0.99084246,0.9587859701041286
1497,tabnet,6,0.985348,0.9734425712087575
1497,tabnet,7,0.97252744,0.961503237348185
1497,tabnet,8,0.97619045,0.9587251575980189
1497,tabnet,9,0.99084246,0.958012206069703
1497,tabnet,10,0.978022,0.9632914897880632
1497,tabnet,11,0.98351645,0.9661094681659286
1497,tabnet,12,0.98717946,0.9440907725433676
1497,tabnet,13,0.981685,0.9635451789998437
1497,tabnet,14,0.98717946,0.9651975920289506
1497,tabnet,15,0.978022,0.9598829216252853
1497,tabnet,16,0.97619045,0.969785920624115
1497,tabnet,17,0.98717946,0.9543387356702709
1497,tabnet,18,0.985348,0.9597365477263098
1497,tabnet,19,0.981685,0.9550718425282438
1497,tabnet,20,0.97252744,0.9514626235455568
1497,tabnet,21,0.96520144,0.9589244479862605
1497,tabnet,22,0.970696,0.9423547138122038
1497,tabnet,23,0.97619045,0.9497442021932183
1497,tabnet,24,0.97619045,0.9589309850478274
1497,tabnet,25,0.98717946,0.9560618079136324
1497,tabnet,26,0.978022,0.967136522166428
