dataset,corruption,npairs,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
4134,pass,loss=cluster-simclr-case2,9999,18,0.7678613752743442,0,0,0,0,0.0114259443521499
4134,pass,loss=cluster-simclr-case2,9999,19,0.7725671791770626,0,0,0,0,0.0113217001914978
4134,pass,loss=cluster-simclr-case2,9999,20,0.7603195739014648,0,0,0,0,0.0111873703122138
4134,pass,loss=cluster-simclr-case2,9999,21,0.7634766942555765,0,0,0,0,0.0114696766018867
4134,pass,loss=cluster-simclr-case2,9999,22,0.7655335525504258,0,0,0,0,0.0111603661179542
4134,pass,loss=cluster-simclr-case2,9999,23,0.7359265781742896,0,0,0,0,0.0114805825471878
4134,pass,loss=cluster-simclr-case2,9999,24,0.7433815230668661,0,0,0,0,0.0114255179166793
4134,pass,loss=cluster-simclr-case2,9999,25,0.7661492739815022,0,0,0,0,0.0112427510380744
4134,pass,loss=cluster-simclr-case2,9999,26,0.7613037597662332,0,0,0,0,0.0115475986242294
4134,pass,loss=cluster-simclr-case2,9999,27,0.7680061776325039,0,0,0,0,0.0112083042263984
4134,pass,loss=cluster-simclr-case2,9999,28,0.7593234429281681,0,0,0,0,0.0114027812004089
4134,pass,loss=cluster-simclr-case2,9999,29,0.7872655031897771,0,0,0,0,0.0112431434988975
1464,pass,loss=cluster-simclr-case2,9999,0,0.7174301978856059,0,0,0,0,0.0020770460963249
1464,pass,loss=cluster-simclr-case2,9999,1,0.6991379683777345,0,0,0,0,0.0020622248649597
1464,pass,loss=cluster-simclr-case2,9999,2,0.729872340425532,0,0,0,0,0.0021065682768821
1464,pass,loss=cluster-simclr-case2,9999,3,0.7081637717121587,0,0,0,0,0.0020952414274215
1464,pass,loss=cluster-simclr-case2,9999,4,0.7509980108375061,0,0,0,0,0.0020918073654174
1464,pass,loss=cluster-simclr-case2,9999,5,0.7141784989858012,0,0,0,0,0.0021798800826072
1464,pass,loss=cluster-simclr-case2,9999,6,0.7739441583084847,0,0,0,0,0.0020546196103096
1464,pass,loss=cluster-simclr-case2,9999,7,0.7779859484777518,0,0,0,0,0.0020968427658081
1464,pass,loss=cluster-simclr-case2,9999,8,0.7604637755428865,0,0,0,0,0.0020845341086387
1464,pass,loss=cluster-simclr-case2,9999,9,0.6748512461529177,0,0,0,0,0.0020692150592803
1464,pass,loss=cluster-simclr-case2,9999,10,0.7670903391279567,0,0,0,0,0.0021043707728385
1464,pass,loss=cluster-simclr-case2,9999,11,0.7750153555398063,0,0,0,0,0.0020799319148063
1464,pass,loss=cluster-simclr-case2,9999,12,0.7338171262699565,0,0,0,0,0.0020982682704925
1464,pass,loss=cluster-simclr-case2,9999,13,0.732358926919519,0,0,0,0,0.0020879247784614
1464,pass,loss=cluster-simclr-case2,9999,14,0.7761389689851607,0,0,0,0,0.002088277041912
1464,pass,loss=cluster-simclr-case2,9999,15,0.7187822014051523,0,0,0,0,0.0020919277071952
1464,pass,loss=cluster-simclr-case2,9999,16,0.7033962264150944,0,0,0,0,0.0020304917097091
1464,pass,loss=cluster-simclr-case2,9999,17,0.7420000000000001,0,0,0,0,0.002100685596466
1464,pass,loss=cluster-simclr-case2,9999,18,0.7335831381733021,0,0,0,0,0.0021067565083503
1464,pass,loss=cluster-simclr-case2,9999,19,0.720876412187607,0,0,0,0,0.002098266005516
1464,pass,loss=cluster-simclr-case2,9999,20,0.7794553810275052,0,0,0,0,0.0021063167452812
1464,pass,loss=cluster-simclr-case2,9999,21,0.7604637755428865,0,0,0,0,0.0020078837275505
1464,pass,loss=cluster-simclr-case2,9999,22,0.7333333333333333,0,0,0,0,0.0023882300257682
1464,pass,loss=cluster-simclr-case2,9999,23,0.7927868852459018,0,0,0,0,0.0021265957951545
1464,pass,loss=cluster-simclr-case2,9999,24,0.7936840661225051,0,0,0,0,0.0021215265393257
1464,pass,loss=cluster-simclr-case2,9999,25,0.7235235732009925,0,0,0,0,0.0021090568304061
1464,pass,loss=cluster-simclr-case2,9999,26,0.7137127371273713,0,0,0,0,0.0020404132008552
1464,pass,loss=cluster-simclr-case2,9999,27,0.7816471929324593,0,0,0,0,0.0020915542244911
1464,pass,loss=cluster-simclr-case2,9999,28,0.7387012987012987,0,0,0,0,0.0021047087311744
1464,pass,loss=cluster-simclr-case2,9999,29,0.7578427550357374,0,0,0,0,0.002109041750431
1487,pass,loss=cluster-simclr-case2,9999,0,0.933413147590452,0,0,0,0,0.0021429245105156
1487,pass,loss=cluster-simclr-case2,9999,1,0.9280232913544516,0,0,0,0,0.0021504774093627
1487,pass,loss=cluster-simclr-case2,9999,2,0.925619292483198,0,0,0,0,0.0021589075968815
1487,pass,loss=cluster-simclr-case2,9999,3,0.9353776320137672,0,0,0,0,0.0021181883628551
1487,pass,loss=cluster-simclr-case2,9999,4,0.937953487419099,0,0,0,0,0.0021326728967519
1487,pass,loss=cluster-simclr-case2,9999,5,0.9275446177124056,0,0,0,0,0.0020916779774885
1487,pass,loss=cluster-simclr-case2,9999,6,0.9344288863822958,0,0,0,0,0.0021014240154853
1487,pass,loss=cluster-simclr-case2,9999,7,0.9294727733969652,0,0,0,0,0.0021160914347721
1487,pass,loss=cluster-simclr-case2,9999,8,0.9227080826500276,0,0,0,0,0.0021134384045234
1487,pass,loss=cluster-simclr-case2,9999,9,0.940909620954214,0,0,0,0,0.0021315762263077
1487,pass,loss=cluster-simclr-case2,9999,10,0.9436703182340486,0,0,0,0,0.0021307523617377
1487,pass,loss=cluster-simclr-case2,9999,11,0.9416625244278604,0,0,0,0,0.0021174421493823
1487,pass,loss=cluster-simclr-case2,9999,12,0.9313682518810724,0,0,0,0,0.0021115511564108
1487,pass,loss=cluster-simclr-case2,9999,13,0.9194211029420964,0,0,0,0,0.0021088491953336
1487,pass,loss=cluster-simclr-case2,9999,14,0.9299946282194804,0,0,0,0,0.0021154929124392
1487,pass,loss=cluster-simclr-case2,9999,15,0.9214077507308588,0,0,0,0,0.0020999013093801
1487,pass,loss=cluster-simclr-case2,9999,16,0.9296806190749788,0,0,0,0,0.0016199824076432
1487,pass,loss=cluster-simclr-case2,9999,17,0.9118156440763728,0,0,0,0,0.0016151017225705
1487,pass,loss=cluster-simclr-case2,9999,18,0.9289940828402368,0,0,0,0,0.0016291416791769
1487,pass,loss=cluster-simclr-case2,9999,19,0.933817053247039,0,0,0,0,0.0016206945455991
1487,pass,loss=cluster-simclr-case2,9999,20,0.9432106463151289,0,0,0,0,0.0016210069656372
1487,pass,loss=cluster-simclr-case2,9999,21,0.9190534936471524,0,0,0,0,0.0016193135885091
1487,pass,loss=cluster-simclr-case2,9999,22,0.9399472203959384,0,0,0,0,0.0016186338571401
1487,pass,loss=cluster-simclr-case2,9999,23,0.932974047975644,0,0,0,0,0.001613623875838
1487,pass,loss=cluster-simclr-case2,9999,24,0.9319276670393296,0,0,0,0,0.0016215321284074
1487,pass,loss=cluster-simclr-case2,9999,25,0.9478428872537488,0,0,0,0,0.0016177117090958
1487,pass,loss=cluster-simclr-case2,9999,26,0.9241977055288358,0,0,0,0,0.001617216513707
1487,pass,loss=cluster-simclr-case2,9999,27,0.9478428872537488,0,0,0,0,0.0016177911941821
1487,pass,loss=cluster-simclr-case2,9999,28,0.9555788846921518,0,0,0,0,0.001616081219453
1487,pass,loss=cluster-simclr-case2,9999,29,0.9298912205144658,0,0,0,0,0.0016196596439068
1049,pass,loss=cluster-simclr-case2,9999,0,0.912771702990106,0,0,0,0,0.0059450357641492
1049,pass,loss=cluster-simclr-case2,9999,1,0.9178082191780822,0,0,0,0,0.005790079150881
1049,pass,loss=cluster-simclr-case2,9999,2,0.888835017491285,0,0,0,0,0.0055747448035648
1049,pass,loss=cluster-simclr-case2,9999,3,0.9178082191780822,0,0,0,0,0.0059239205973488
1049,pass,loss=cluster-simclr-case2,9999,4,0.9293086094141076,0,0,0,0,0.0058240889821733
1049,pass,loss=cluster-simclr-case2,9999,5,0.917985987660776,0,0,0,0,0.0057156777381896
1049,pass,loss=cluster-simclr-case2,9999,6,0.9034197274450172,0,0,0,0,0.0059605797018323
1049,pass,loss=cluster-simclr-case2,9999,7,0.9287902027628056,0,0,0,0,0.0058093169076102
1049,pass,loss=cluster-simclr-case2,9999,8,0.9069732018643948,0,0,0,0,0.0055843923773084
1049,pass,loss=cluster-simclr-case2,9999,9,0.8944588907058413,0,0,0,0,0.0059097074781145
1049,pass,loss=cluster-simclr-case2,9999,10,0.884906824632852,0,0,0,0,0.0058033340999058
1049,pass,loss=cluster-simclr-case2,9999,11,0.9167939570689958,0,0,0,0,0.0057368016583578
1049,pass,loss=cluster-simclr-case2,9999,12,0.921669223039086,0,0,0,0,0.0059691714218684
1049,pass,loss=cluster-simclr-case2,9999,13,0.9119875717780632,0,0,0,0,0.005799842425755
1049,pass,loss=cluster-simclr-case2,9999,14,0.9119671273510394,0,0,0,0,0.0058431007862091
1049,pass,loss=cluster-simclr-case2,9999,15,0.9207549497363364,0,0,0,0,0.0057661842618669
1049,pass,loss=cluster-simclr-case2,9999,16,0.8860643244204888,0,0,0,0,0.0058286591597965
1049,pass,loss=cluster-simclr-case2,9999,17,0.8946367333170923,0,0,0,0,0.0058202748298645
